"27 ธ.ค. 2555",29.6773
"26 ธ.ค. 2555",29.2802
"25 ธ.ค. 2555",29.2351
"24 ธ.ค. 2555",29.1783
"21 ธ.ค. 2555",29.1702
"20 ธ.ค. 2555",29.2952
"19 ธ.ค. 2555",29.3595
"18 ธ.ค. 2555",29.0192
"17 ธ.ค. 2555",28.8957
"14 ธ.ค. 2555",28.9832
"13 ธ.ค. 2555",28.8927
"12 ธ.ค. 2555",28.9752
"11 ธ.ค. 2555",28.5816
"07 ธ.ค. 2555",28.346
"06 ธ.ค. 2555",28.4429
"04 ธ.ค. 2555",28.2487
"03 ธ.ค. 2555",28.2812
"30 พ.ย. 2555",28.1095
"29 พ.ย. 2555",27.698
"28 พ.ย. 2555",27.5093
"27 พ.ย. 2555",27.4921
"26 พ.ย. 2555",27.3424
"23 พ.ย. 2555",27.2346
"22 พ.ย. 2555",27.163
"21 พ.ย. 2555",27.0749
"20 พ.ย. 2555",27.0004
"19 พ.ย. 2555",27.1395
"16 พ.ย. 2555",27.0929
"15 พ.ย. 2555",26.93
"14 พ.ย. 2555",26.9238
"13 พ.ย. 2555",27.15
"12 พ.ย. 2555",27.314
"09 พ.ย. 2555",27.2231
"08 พ.ย. 2555",27.1716
"07 พ.ย. 2555",27.3069
"06 พ.ย. 2555",27.4049
"05 พ.ย. 2555",27.5411
"02 พ.ย. 2555",27.5204
"01 พ.ย. 2555",27.3481
"31 ต.ค. 2555",27.4251
"30 ต.ค. 2555",27.3606
"29 ต.ค. 2555",27.0076
"26 ต.ค. 2555",27.0076
"25 ต.ค. 2555",27.3067
"24 ต.ค. 2555",27.2354
"22 ต.ค. 2555",27.6171
"19 ต.ค. 2555",27.5925
"18 ต.ค. 2555",27.7097
"17 ต.ค. 2555",27.4174
"16 ต.ค. 2555",27.103
"15 ต.ค. 2555",27.2297
"12 ต.ค. 2555",27.4052
"11 ต.ค. 2555",27.3225
"10 ต.ค. 2555",27.1333
"09 ต.ค. 2555",27.2242
"08 ต.ค. 2555",27.4815
"05 ต.ค. 2555",27.7496
"04 ต.ค. 2555",27.6634
"03 ต.ค. 2555",27.6786
"02 ต.ค. 2555",27.706
"01 ต.ค. 2555",27.618
"28 ก.ย. 2555",27.7929
"27 ก.ย. 2555",27.4595
"26 ก.ย. 2555",27.1838
"25 ก.ย. 2555",27.4135
"24 ก.ย. 2555",27.3398
"21 ก.ย. 2555",27.4498
"20 ก.ย. 2555",27.4001
"19 ก.ย. 2555",27.4788
"18 ก.ย. 2555",27.2197
"17 ก.ย. 2555",27.4387
"14 ก.ย. 2555",27.3789
"13 ก.ย. 2555",26.8986
"12 ก.ย. 2555",27.0325
"11 ก.ย. 2555",26.758
"10 ก.ย. 2555",26.8278
"07 ก.ย. 2555",26.7527
"06 ก.ย. 2555",26.7053
"05 ก.ย. 2555",26.4963
"04 ก.ย. 2555",26.5606
"03 ก.ย. 2555",26.6119
"31 ส.ค. 2555",26.4189
"30 ส.ค. 2555",26.1317
"29 ส.ค. 2555",26.2523
"28 ส.ค. 2555",26.5615
"27 ส.ค. 2555",26.5988
"24 ส.ค. 2555",26.7519
"23 ส.ค. 2555",26.8094
"22 ส.ค. 2555",26.7089
"21 ส.ค. 2555",26.6836
"20 ส.ค. 2555",26.6185
"17 ส.ค. 2555",26.479
"16 ส.ค. 2555",26.5569
"15 ส.ค. 2555",26.7508
"14 ส.ค. 2555",26.7791
"10 ส.ค. 2555",26.4773
"09 ส.ค. 2555",26.3907
"08 ส.ค. 2555",26.2507
"07 ส.ค. 2555",26.1705
"06 ส.ค. 2555",26.1924
"03 ส.ค. 2555",25.9097
"01 ส.ค. 2555",26.0362
"31 ก.ค. 2555",26.0068
"30 ก.ค. 2555",25.8972
"27 ก.ค. 2555",25.4995
"26 ก.ค. 2555",25.3793
"25 ก.ค. 2555",25.7356
"24 ก.ค. 2555",25.7088
"23 ก.ค. 2555",25.7007
"20 ก.ค. 2555",26.3208
"19 ก.ค. 2555",26.4449
"18 ก.ค. 2555",26.6895
"17 ก.ค. 2555",26.8429
"16 ก.ค. 2555",26.6187
"13 ก.ค. 2555",26.548
"12 ก.ค. 2555",26.1127
"11 ก.ค. 2555",26.4982
"10 ก.ค. 2555",26.4101
"09 ก.ค. 2555",25.8897
"06 ก.ค. 2555",26.2419
"05 ก.ค. 2555",26.3269
"04 ก.ค. 2555",26.2026
"03 ก.ค. 2555",26.3404
"02 ก.ค. 2555",26.1024
"29 มิ.ย. 2555",25.6731
"28 มิ.ย. 2555",25.6689
"27 มิ.ย. 2555",25.4766
"26 มิ.ย. 2555",25.1221
"25 มิ.ย. 2555",25.0337
"22 มิ.ย. 2555",25.2075
"21 มิ.ย. 2555",25.3853
"20 มิ.ย. 2555",25.8077
"19 มิ.ย. 2555",25.846
"18 มิ.ย. 2555",25.5925
"15 มิ.ย. 2555",25.7181
"14 มิ.ย. 2555",25.3227
"13 มิ.ย. 2555",25.4476
"12 มิ.ย. 2555",25.5431
"11 มิ.ย. 2555",25.4528
"08 มิ.ย. 2555",24.7097
"07 มิ.ย. 2555",24.5462
"06 มิ.ย. 2555",24.5257
"05 มิ.ย. 2555",24.092
"01 มิ.ย. 2555",24.3804
"31 พ.ค. 2555",25.0027
"30 พ.ค. 2555",24.9667
"29 พ.ค. 2555",25.3264
"28 พ.ค. 2555",25.0011
"25 พ.ค. 2555",24.8763
"24 พ.ค. 2555",24.7887
"23 พ.ค. 2555",24.3259
"22 พ.ค. 2555",24.8217
"21 พ.ค. 2555",24.9975
"18 พ.ค. 2555",25.5583
"17 พ.ค. 2555",26.0005
