Benchmark level: 2.5% per year 
Test period: 25540101 - 25570311
Fund,1,2,3,4,5,6,7,sharpe_ratio,annual_return,sharpe_ratio_sort,annual_return_sort
allocation,0,0,10,0,0,90,0,0.11034,0.48357,0,0
allocation,0,0,10,0,10,0,80,0.18660,1.45414,0,1
allocation,0,0,10,0,10,10,70,0.17988,1.32175,0,1
allocation,0,0,10,0,10,20,60,0.17257,1.19084,0,1
allocation,0,0,10,0,10,30,50,0.16457,1.06143,0,1
allocation,0,0,10,0,10,40,40,0.15570,0.93357,0,1
allocation,0,0,10,0,10,50,30,0.14574,0.80730,0,1
allocation,0,0,10,0,10,60,20,0.13439,0.68265,0,1
allocation,0,0,10,0,10,70,10,0.12121,0.55969,0,1
allocation,0,0,10,0,10,80,0,0.10558,0.43844,0,0
allocation,0,0,10,0,20,0,70,0.17836,1.27112,0,1
allocation,0,0,10,0,20,10,60,0.17087,1.14101,0,1
allocation,0,0,10,0,20,20,50,0.16262,1.01241,0,1
allocation,0,0,10,0,20,30,40,0.15343,0.88539,0,1
allocation,0,0,10,0,20,40,30,0.14305,0.75997,0,1
allocation,0,0,10,0,20,50,20,0.13112,0.63620,0,1
allocation,0,0,10,0,20,60,10,0.11716,0.51412,0,1
allocation,0,0,10,0,20,70,0,0.10039,0.39379,0,0
allocation,0,0,10,0,30,0,60,0.16912,1.09160,0,1
allocation,0,0,10,0,30,10,50,0.16061,0.96383,0,1
allocation,0,0,10,0,30,20,40,0.15107,0.83765,0,1
allocation,0,0,10,0,30,30,30,0.14022,0.71309,0,1
allocation,0,0,10,0,30,40,20,0.12765,0.59020,0,1
allocation,0,0,10,0,30,50,10,0.11278,0.46903,0,0
allocation,0,0,10,0,30,60,0,0.09470,0.34961,0,0
allocation,0,0,10,0,40,0,50,0.15853,0.91569,0,1
allocation,0,0,10,0,40,10,40,0.14861,0.79036,0,1
allocation,0,0,10,0,40,20,30,0.13723,0.66667,0,1
allocation,0,0,10,0,40,30,20,0.12394,0.54467,0,1
allocation,0,0,10,0,40,40,10,0.10802,0.42441,0,0
allocation,0,0,10,0,40,50,0,0.08839,0.30593,0,0
allocation,0,0,10,0,50,0,40,0.14603,0.74352,0,1
allocation,0,0,10,0,50,10,30,0.13407,0.62071,0,1
allocation,0,0,10,0,50,20,20,0.11994,0.49961,0,0
allocation,0,0,10,0,50,30,10,0.10281,0.38027,0,0
allocation,0,0,10,0,50,40,0,0.08134,0.26272,0,0
allocation,0,0,10,0,60,0,30,0.13069,0.57521,0,1
allocation,0,0,10,0,60,10,20,0.11561,0.45502,0,0
allocation,0,0,10,0,60,20,10,0.09706,0.33661,0,0
allocation,0,0,10,0,60,30,0,0.07337,0.22001,0,0
allocation,0,0,10,0,70,0,20,0.11088,0.41091,0,0
allocation,0,0,10,0,70,10,10,0.09064,0.29343,0,0
allocation,0,0,10,0,70,20,0,0.06424,0.17780,0,0
allocation,0,0,10,0,80,0,10,0.08340,0.25075,0,0
allocation,0,0,10,0,80,10,0,0.05365,0.13609,0,0
allocation,0,0,10,0,90,0,0,0.04114,0.09488,0,0
allocation,0,0,10,10,0,0,80,0.19278,1.45546,0,1
allocation,0,0,10,10,0,10,70,0.18639,1.32418,0,1
allocation,0,0,10,10,0,20,60,0.17944,1.19437,0,1
allocation,0,0,10,10,0,30,50,0.17182,1.06608,0,1
allocation,0,0,10,10,0,40,40,0.16336,0.93936,0,1
allocation,0,0,10,10,0,50,30,0.15384,0.81423,0,1
allocation,0,0,10,10,0,60,20,0.14294,0.69076,0,1
allocation,0,0,10,10,0,70,10,0.13022,0.56896,0,1
allocation,0,0,10,10,0,80,0,0.11499,0.44891,0,0
allocation,0,0,10,10,10,0,70,0.18511,1.27409,0,1
allocation,0,0,10,10,10,10,60,0.17800,1.14509,0,1
allocation,0,0,10,10,10,20,50,0.17016,1.01763,0,1
allocation,0,0,10,10,10,30,40,0.16141,0.89174,0,1
allocation,0,0,10,10,10,40,30,0.15150,0.76748,0,1
allocation,0,0,10,10,10,50,20,0.14006,0.64487,0,1
allocation,0,0,10,10,10,60,10,0.12657,0.52398,0,1
allocation,0,0,10,10,10,70,0,0.11021,0.40484,0,0
allocation,0,0,10,10,20,0,60,0.17654,1.09624,0,1
allocation,0,0,10,10,20,10,50,0.16847,0.96961,0,1
allocation,0,0,10,10,20,20,40,0.15940,0.84457,0,1
allocation,0,0,10,10,20,30,30,0.14905,0.72117,0,1
allocation,0,0,10,10,20,40,20,0.13700,0.59946,0,1
allocation,0,0,10,10,20,50,10,0.12262,0.47947,0,0
allocation,0,0,10,10,20,60,0,0.10494,0.36126,0,0
allocation,0,0,10,10,30,0,50,0.16672,0.92203,0,1
